Sport,Difficulty,Judging Requirement,Olympic Pinnacle
Archery,7,2,9
Artistic Gymnastics,10,8,10
Artistic Swimming,8,9,10
Athletics,8,1,9
Badminton,7,1,9
Basketball,7,2,5
Basketball 3x3,5,2,6
Beach Volleyball,7,1,9
Boxing,8,5,6
Breaking,6,8,8
Canoe Slalom,8,2,10
Canoe Sprint,7,1,10
Cycling BMX Freestyle,8,8,9
Cycling BMX Racing,7,2,9
Cycling Mountain Bike,8,2,9
Cycling Road,8,1,7
Cycling Track,7,1,8
Diving,10,8,10
Equestrian,5,6,8
Fencing,8,3,10
Football,6,2,3
Golf,5,1,4
Handball,6,2,9
Hockey,7,2,9
Judo,8,4,10
Marathon Swimming,9,1,9
Modern Pentathlon,9,3,10
Rhythmic Gymnastics,9,9,10
Rowing,8,1,9
Rugby Sevens,7,2,8
Sailing,8,2,9
Shooting,6,1,10
Skateboarding,7,7,7
Sport Climbing,8,5,8
Surfing,9,7,8
Swimming,8,1,10
Table Tennis,7,1,9
Taekwondo,8,5,10
Tennis,7,1,5
Trampoline,8,7,10
Triathlon,10,1,9
Volleyball,7,1,9
Water Polo,8,2,9
Weightlifting,9,1,10
Wrestling,8,4,10
